State,District,DistrictType,Indicators,Urban,Rural,Total
Madhya Pradesh,Gwalior,Urban Rural,Children age 12-23 months who have received measles vaccine (%),78.9,79.8,79.2
Madhya Pradesh,Gwalior,Urban Rural,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),58,58,58
Madhya Pradesh,Gwalior,Urban Rural,Children age 9-59 months who received a vitamin A dose in last 6 months (%),62.2,63,62.5
Madhya Pradesh,Gwalior,Urban Rural,Children age 12-23 months who received most of the vaccinations in public health facility (%),87.9,100,92.3
Madhya Pradesh,Gwalior,Urban Rural,Children age 12-23 months who received most of the vaccinations in private health facility (%),12.1,0,7.7
Madhya Pradesh,Gwalior,Urban Rural,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),9.6,8.2,9.1
Madhya Pradesh,Gwalior,Urban Rural,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),51.2,49.8,50.7
Madhya Pradesh,Gwalior,Urban Rural,Children with diarrhoea in the last 2 weeks who received zinc (%),16.9,17.9,17.3
Madhya Pradesh,Gwalior,Urban Rural,Children with diarrhoea in the last 2 weeks taken to a health facility (%),67.5,70.3,68.5
Madhya Pradesh,Gwalior,Urban Rural,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),0.3,0.7,0.5
Madhya Pradesh,Gwalior,Urban Rural,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),79.7,82,80.4
Madhya Pradesh,Gwalior,Urban Rural,Children under age 3 years breastfed within one hour of birth9 (%),25.8,28.9,26.9
Madhya Pradesh,Gwalior,Urban Rural,Children under age 6 months exclusively breastfed10 (%),32.4,18.8,26.4
Madhya Pradesh,Gwalior,Urban Rural,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),*,31.6,40.7
Madhya Pradesh,Gwalior,Urban Rural,"Breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",3.3,1.9,2.7
Madhya Pradesh,Gwalior,Urban Rural,"Non-breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",0,*,0
Madhya Pradesh,Gwalior,Urban Rural,"Total children age 6-23 months receiving an adequate diet10,11 (%)",2.4,1.5,2.1
Madhya Pradesh,Gwalior,Urban Rural,Children under 5 years who are stunted (height-for-age)12 (%),42.1,44.1,42.8
Madhya Pradesh,Gwalior,Urban Rural,Children under 5 years who are wasted (weight-for-height)12 (%),25.5,31.9,28
Madhya Pradesh,Gwalior,Urban Rural,Children under 5 years who are severely wasted (weight-for-height)13 (%),8.5,15.3,11.1
Madhya Pradesh,Gwalior,Urban Rural,Children under 5 years who are underweight (weight-for-age)12 (%),47.6,50,48.5
Madhya Pradesh,Gwalior,Urban Rural,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),21,24.8,22.2
Madhya Pradesh,Gwalior,Urban Rural,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),22.6,27.9,24.5
Madhya Pradesh,Gwalior,Urban Rural,Women who are overweight or obese (BMI 䊫 25.0 kg/m2)14 (%),17.5,6.7,14.1
Madhya Pradesh,Gwalior,Urban Rural,Men who are overweight or obese (BMI 䊫 25.0 kg/m2) (%),14.1,5.7,11.1
Madhya Pradesh,Gwalior,Urban Rural,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),69.5,67.1,68.6
Madhya Pradesh,Gwalior,Urban Rural,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),56.6,60.5,57.8
Madhya Pradesh,Gwalior,Urban Rural,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),46.8,53.9,49.4
Madhya Pradesh,Gwalior,Urban Rural,All women age 15-49 years who are anaemic (%),56.1,60.1,57.4
Madhya Pradesh,Gwalior,Urban Rural,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),32.5,39.2,35
Madhya Pradesh,Gwalior,Urban Rural,Blood sugar level - high (>140 mg/dl) (%),4.2,2.2,3.6
Madhya Pradesh,Gwalior,Urban Rural,Blood sugar level - very high (>160 mg/dl) (%),1.4,1.3,1.4
Madhya Pradesh,Gwalior,Urban Rural,Blood sugar level - high (>140 mg/dl) (%),6.3,4.6,5.7
Madhya Pradesh,Gwalior,Urban Rural,Blood sugar level - very high (>160 mg/dl) (%),3.2,2,2.8
Madhya Pradesh,Gwalior,Urban Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),4.5,3,4
Madhya Pradesh,Gwalior,Urban Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),0.5,0.8,0.6
Madhya Pradesh,Gwalior,Urban Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),0.5,0.3,0.4
Madhya Pradesh,Gwalior,Urban Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),8.6,8,8.4
Madhya Pradesh,Gwalior,Urban Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),2.4,0.6,1.7
Madhya Pradesh,Gwalior,Urban Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),1.1,0,0.7
Madhya Pradesh,Gwalior,Urban Rural,Cervix (%),37,43.1,38.9
Madhya Pradesh,Gwalior,Urban Rural,Breast (%),11.1,16.4,12.8
Madhya Pradesh,Gwalior,Urban Rural,Oral cavity (%),15.7,18.3,16.5
Madhya Pradesh,Harda,Rural,Population (female) age 6 years and above who ever attended school (%),NA,59.9,65.8
Madhya Pradesh,Harda,Rural,Population below age 15 years (%),NA,30.4,29.7
Madhya Pradesh,Harda,Rural,"Sex ratio of the total population (females per 1,000 males)",NA,924,922
Madhya Pradesh,Harda,Rural,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",NA,764,814
Madhya Pradesh,Harda,Rural,Children under age 5 years whose birth was registered (%),NA,83.5,85.9
Madhya Pradesh,Harda,Rural,Households with electricity (%),NA,95.6,96.5
Madhya Pradesh,Harda,Rural,Households with an improved drinking-water source1 (%),NA,84.5,87.7
Madhya Pradesh,Harda,Rural,Households using improved sanitation facility2 (%),NA,45.2,51.4
Madhya Pradesh,Harda,Rural,Households using clean fuel for cooking3 (%),NA,16.4,30.9
Madhya Pradesh,Harda,Rural,Households using iodized salt (%),NA,99.1,99.2
Madhya Pradesh,Harda,Rural,Households with any usual member covered by a health scheme or health insurance (%),NA,16.1,16.6
Madhya Pradesh,Harda,Rural,Women who are literate (%),NA,53.5,60.6
Madhya Pradesh,Harda,Rural,Men who are literate (%),NA,73,77.7
Madhya Pradesh,Harda,Rural,Women with 10 or more years of schooling (%),NA,9.7,17.8
Madhya Pradesh,Harda,Rural,Women age 20-24 years married before age 18 years (%),NA,27.3,24.3
Madhya Pradesh,Harda,Rural,Men age 25-29 years married before age 21 years (%),NA,*,38.7
Madhya Pradesh,Harda,Rural,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),NA,4.1,4.2
Madhya Pradesh,Harda,Rural,Any method4 (%),NA,47.8,49.4
Madhya Pradesh,Harda,Rural,Any modern method4 (%),NA,47.5,49.1
Madhya Pradesh,Harda,Rural,Female sterilization (%),NA,41.6,40.7
Madhya Pradesh,Harda,Rural,Male sterilization (%),NA,0.2,0.2
Madhya Pradesh,Harda,Rural,IUD/PPIUD (%),NA,0.4,0.4
Madhya Pradesh,Harda,Rural,Pill (%),NA,1.4,1.6
Madhya Pradesh,Harda,Rural,Condom (%),NA,3.9,6
Madhya Pradesh,Harda,Rural,Total unmet need (%),NA,8,8.6
Madhya Pradesh,Harda,Rural,Unmet need for spacing (%),NA,4.3,4
Madhya Pradesh,Harda,Rural,Health worker ever talked to female non-users about family planning (%),NA,27.8,26.5
Madhya Pradesh,Harda,Rural,Current users ever told about side effects of current method6 (%),NA,47.6,46.7
Madhya Pradesh,Harda,Rural,Mothers who had antenatal check-up in the first trimester (%),NA,52.2,55.9
Madhya Pradesh,Harda,Rural,Mothers who had at least 4 antenatal care visits (%),NA,35.7,39.9
Madhya Pradesh,Harda,Rural,Mothers whose last birth was protected against neonatal tetanus7 (%),NA,90.7,91.6
Madhya Pradesh,Harda,Rural,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),NA,17.7,21.6
Madhya Pradesh,Harda,Rural,Mothers who had full antenatal care8 (%),NA,8.6,11.8
Madhya Pradesh,Harda,Rural,Registered pregnancies for which the mother received Mother and Child Protection(MCP) card (%),NA,85.2,86.8
Madhya Pradesh,Harda,Rural,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),NA,62,66.2
Madhya Pradesh,Harda,Rural,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),NA,68.5,65.5
Madhya Pradesh,Harda,Rural,Average out of pocket expenditure per delivery in public health facility (Rs.),NA,"2,158","1,870"
Madhya Pradesh,Harda,Rural,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),NA,0,0
Madhya Pradesh,Harda,Rural,Children who received a health check after birth from a doctor/nurse/LHV/ANM/ midwife/other health personnel within 2 days of birth (%),NA,24.8,26.3
Madhya Pradesh,Harda,Rural,Institutional births (%),NA,75.8,79.7
Madhya Pradesh,Harda,Rural,Institutional births in public facility (%),NA,65.7,66.3
Madhya Pradesh,Harda,Rural,Home delivery conducted by skilled health personnel (out of total deliveries) (%),NA,1.3,1
Madhya Pradesh,Harda,Rural,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),NA,74.3,78.5
Madhya Pradesh,Harda,Rural,Births delivered by caesarean section (%),NA,9.6,13
Madhya Pradesh,Harda,Rural,Births in a private health facility delivered by caesarean section (%),NA,57.7,58.8
Madhya Pradesh,Harda,Rural,Births in a public health facility delivered by caesarean section (%),NA,5.8,7.7
Madhya Pradesh,Harda,Rural,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",NA,45.8,48.6
Madhya Pradesh,Harda,Rural,Children age 12-23 months who have received BCG (%),NA,94.5,95.4
Madhya Pradesh,Harda,Rural,Children age 12-23 months who have received 3 doses of polio vaccine (%),NA,48,51.8
Madhya Pradesh,Harda,Rural,Children age 12-23 months who have received 3 doses of DPT vaccine (%),NA,69.6,72.8
Madhya Pradesh,Harda,Rural,Children age 12-23 months who have received measles vaccine (%),NA,89.9,88.6
Madhya Pradesh,Harda,Rural,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),NA,48.5,50.9
Madhya Pradesh,Harda,Rural,Children age 9-59 months who received a vitamin A dose in last 6 months (%),NA,69.3,69.8
Madhya Pradesh,Harda,Rural,Children age 12-23 months who received most of the vaccinations in public health facility (%),NA,100,100
Madhya Pradesh,Harda,Rural,Children age 12-23 months who received most of the vaccinations in private health facility (%),NA,0,0
Madhya Pradesh,Harda,Rural,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),NA,13,12.1
Madhya Pradesh,Harda,Rural,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),NA,74.1,68.6
Madhya Pradesh,Harda,Rural,Children with diarrhoea in the last 2 weeks who received zinc (%),NA,58.6,52.8
Madhya Pradesh,Harda,Rural,Children with diarrhoea in the last 2 weeks taken to a health facility (%),NA,83.2,78.8
Madhya Pradesh,Harda,Rural,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),NA,3.3,2.9
Madhya Pradesh,Harda,Rural,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),NA,77.2,79.3
Madhya Pradesh,Harda,Rural,Children under age 3 years breastfed within one hour of birth9 (%),NA,27,30.3
Madhya Pradesh,Harda,Rural,Children under age 6 months exclusively breastfed10 (%),NA,51.1,51.2
Madhya Pradesh,Harda,Rural,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),NA,*,*
Madhya Pradesh,Harda,Rural,"Breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,0.9,0.7
Madhya Pradesh,Harda,Rural,"Non-breastfeeding children age 6-23 months receiving an adequate diet10,11 (%)",NA,*,*
Madhya Pradesh,Harda,Rural,"Total children age 6-23 months receiving an adequate diet10,11 (%)",NA,1.8,2.3
Madhya Pradesh,Harda,Rural,Children under 5 years who are stunted (height-for-age)12 (%),NA,42.6,39.7
Madhya Pradesh,Harda,Rural,Children under 5 years who are wasted (weight-for-height)12 (%),NA,26.2,25.2
Madhya Pradesh,Harda,Rural,Children under 5 years who are severely wasted (weight-for-height)13 (%),NA,8.5,8.6
Madhya Pradesh,Harda,Rural,Children under 5 years who are underweight (weight-for-age)12 (%),NA,43.6,40.6
Madhya Pradesh,Harda,Rural,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),NA,24.1,22.3
Madhya Pradesh,Harda,Rural,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),NA,31.1,28.4
Madhya Pradesh,Harda,Rural,Women who are overweight or obese (BMI 䊫 25.0 kg/m2)14 (%),NA,11.7,16.3
Madhya Pradesh,Harda,Rural,Men who are overweight or obese (BMI 䊫 25.0 kg/m2) (%),NA,10.4,12.4
Madhya Pradesh,Harda,Rural,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),NA,68.2,65.7
Madhya Pradesh,Harda,Rural,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),NA,51.1,51.3
Madhya Pradesh,Harda,Rural,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),NA,46,51.8
Madhya Pradesh,Harda,Rural,All women age 15-49 years who are anaemic (%),NA,50.8,51.3
Madhya Pradesh,Harda,Rural,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),NA,30.6,29.1
Madhya Pradesh,Harda,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,5,5
Madhya Pradesh,Harda,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,1.9,2.1
Madhya Pradesh,Harda,Rural,Blood sugar level - high (>140 mg/dl) (%),NA,8.8,8.2
Madhya Pradesh,Harda,Rural,Blood sugar level - very high (>160 mg/dl) (%),NA,3.1,3.9
Madhya Pradesh,Harda,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,6.5,6.1
Madhya Pradesh,Harda,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,1.6,1.4
Madhya Pradesh,Harda,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,1,0.7
Madhya Pradesh,Harda,Rural,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),NA,10.8,11.2
Madhya Pradesh,Harda,Rural,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),NA,1.3,1
Madhya Pradesh,Harda,Rural,Very high (Systolic 䊫180 mm of Hg and/or Diastolic 䊫110 mm of Hg) (%),NA,0,1
Madhya Pradesh,Harda,Rural,Cervix (%),NA,33.5,34.2
Madhya Pradesh,Harda,Rural,Breast (%),NA,11.1,13.3
Madhya Pradesh,Harda,Rural,Oral cavity (%),NA,19.2,20
Madhya Pradesh,Hoshangabad,Urban Rural,Population (female) age 6 years and above who ever attended school (%),81.8,65.5,70.7
Madhya Pradesh,Hoshangabad,Urban Rural,Population below age 15 years (%),23.7,27.4,26.2
Madhya Pradesh,Hoshangabad,Urban Rural,"Sex ratio of the total population (females per 1,000 males)",953,918,928
Madhya Pradesh,Hoshangabad,Urban Rural,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,070",926,958
Madhya Pradesh,Hoshangabad,Urban Rural,Children under age 5 years whose birth was registered (%),97.5,91.9,93.2
Madhya Pradesh,Hoshangabad,Urban Rural,Households with electricity (%),98.8,92.2,94.4
Madhya Pradesh,Hoshangabad,Urban Rural,Households with an improved drinking-water source1 (%),99.2,87.4,91.1
Madhya Pradesh,Hoshangabad,Urban Rural,Households using improved sanitation facility2 (%),73.7,33.6,46.4
Madhya Pradesh,Hoshangabad,Urban Rural,Households using clean fuel for cooking3 (%),75.8,15,34.4
Madhya Pradesh,Hoshangabad,Urban Rural,Households using iodized salt (%),99.7,99.3,99.4
Madhya Pradesh,Hoshangabad,Urban Rural,Households with any usual member covered by a health scheme or health insurance (%),30.5,25.6,27.1
Madhya Pradesh,Hoshangabad,Urban Rural,Women who are literate (%),81.8,61.6,68.3
Madhya Pradesh,Hoshangabad,Urban Rural,Men who are literate (%),92,87.4,89
Madhya Pradesh,Hoshangabad,Urban Rural,Women with 10 or more years of schooling (%),49.7,17.6,28.2
Madhya Pradesh,Hoshangabad,Urban Rural,Women age 20-24 years married before age 18 years (%),13.4,20.6,18.4
Madhya Pradesh,Hoshangabad,Urban Rural,Men age 25-29 years married before age 21 years (%),15.8,22.2,19.9
Madhya Pradesh,Hoshangabad,Urban Rural,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.3,2.7,2.5
Madhya Pradesh,Hoshangabad,Urban Rural,Any method4 (%),42.8,53.6,50.2
Madhya Pradesh,Hoshangabad,Urban Rural,Any modern method4 (%),42.3,53,49.6
Madhya Pradesh,Hoshangabad,Urban Rural,Female sterilization (%),31.9,47.2,42.4
Madhya Pradesh,Hoshangabad,Urban Rural,Male sterilization (%),0,0.2,0.2
Madhya Pradesh,Hoshangabad,Urban Rural,IUD/PPIUD (%),0.7,0.2,0.4
Madhya Pradesh,Hoshangabad,Urban Rural,Pill (%),1.5,0.4,0.7
Madhya Pradesh,Hoshangabad,Urban Rural,Condom (%),8.1,4.6,5.7
Madhya Pradesh,Hoshangabad,Urban Rural,Total unmet need (%),10.4,8.7,9.2
Madhya Pradesh,Hoshangabad,Urban Rural,Unmet need for spacing (%),5,3.8,4.2
Madhya Pradesh,Hoshangabad,Urban Rural,Health worker ever talked to female non-users about family planning (%),25.5,28.6,27.5
Madhya Pradesh,Hoshangabad,Urban Rural,Current users ever told about side effects of current method6 (%),66.2,42.7,47.1
Madhya Pradesh,Hoshangabad,Urban Rural,Mothers who had antenatal check-up in the first trimester (%),50.4,56.9,55.2
Madhya Pradesh,Hoshangabad,Urban Rural,Mothers who had at least 4 antenatal care visits (%),51.4,44.5,46.3
Madhya Pradesh,Hoshangabad,Urban Rural,Mothers whose last birth was protected against neonatal tetanus7 (%),97.9,94.4,95.3
Madhya Pradesh,Hoshangabad,Urban Rural,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),37.7,22.8,26.7
Madhya Pradesh,Hoshangabad,Urban Rural,Mothers who had full antenatal care8 (%),24.8,9.7,13.6
Madhya Pradesh,Hoshangabad,Urban Rural,Registered pregnancies for which the mother received Mother and Child Protection(MCP) card (%),93.2,95,94.5
Madhya Pradesh,Hoshangabad,Urban Rural,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),80.7,71.2,73.7
Madhya Pradesh,Hoshangabad,Urban Rural,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),59.2,68,65.5
Madhya Pradesh,Hoshangabad,Urban Rural,Average out of pocket expenditure per delivery in public health facility (Rs.),"1,688",838,"1,053"
Madhya Pradesh,Hoshangabad,Urban Rural,(%),*,0,0
Madhya Pradesh,Hoshangabad,Urban Rural,Children who received a health check after birth from a doctor/nurse/LHV/ANM/ midwife/other health personnel within 2 days of birth (%),23.7,17.9,19.4
Madhya Pradesh,Hoshangabad,Urban Rural,Institutional births (%),98,86,88.8
Madhya Pradesh,Hoshangabad,Urban Rural,Institutional births in public facility (%),78.3,77.4,77.6
Madhya Pradesh,Hoshangabad,Urban Rural,Home delivery conducted by skilled health personnel (out of total deliveries) (%),1.4,2.6,2.3
Madhya Pradesh,Hoshangabad,Urban Rural,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),95.2,79.1,82.8
